id,prop,spf,name
1,0.1,129154966501.489,Acaciaforests
2,0.1,129154966501.489,Acaciashrublands
3,0.1,129154966501.489,Eucshrublands
4,0.1,129154966501.489,Eucalyptuswoodlands
5,0.1,129154966501.489,Freshwater
6,0.1,129154966501.489,Grasslands
7,0.1,129154966501.489,Lowforest
8,0.1,129154966501.489,MalleeShrublands
9,0.1,129154966501.489,Mulgawoodlands
10,0.1,129154966501.489,Openshrublands
11,0.1,129154966501.489,Saltbush
12,0.1,129154966501.489,Saltlagoon
13,0.1,129154966501.489,Sedgelands
14,0.1,129154966501.489,TropicalRainforest
15,0.1,129154966501.489,Tussockgrasslands
16,0.1,129154966501.489,Azurekingfsh
17,0.1,129154966501.489,Blindvelvetworm
18,0.1,129154966501.489,Bartailedgodwit
19,0.1,129154966501.489,Claspleathheath
20,0.1,129154966501.489,Fairywren
21,0.1,129154966501.489,Hoarysunray
22,0.1,129154966501.489,MaskedOwl
23,0.1,129154966501.489,OrangeParrot
24,0.1,129154966501.489,SeaEagle
25,0.1,129154966501.489,SwiftParrot
