"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15005276743.292450,9974860559.139994,292,2186639.000000,18942285.000000,3325275.000000,2186639.000000,13430371.000000,0.175548,0.000000,0.000000,0,1.000000
2,14933557571.188341,9926146630.169994,288,2176639.000000,18942285.000000,3270275.000000,2176639.000000,13495371.000000,0.172644,0.000000,0.000000,0,1.000000
3,14959266257.024231,9974860559.139994,292,2166639.000000,18942285.000000,3335275.000000,2166639.000000,13440371.000000,0.176076,0.000000,0.000000,0,1.000000
4,14933557571.188341,9926146630.169994,288,2176639.000000,18942285.000000,3270275.000000,2176639.000000,13495371.000000,0.172644,0.000000,0.000000,0,1.000000
5,15062112547.110664,9985685876.689993,293,2206639.000000,18942285.000000,3330275.000000,2206639.000000,13405371.000000,0.175812,0.000000,0.000000,0,1.000000
6,14949795547.508339,9942384606.489994,289,2176639.000000,18942285.000000,3285275.000000,2176639.000000,13480371.000000,0.173436,0.000000,0.000000,0,1.000000
7,14933557571.188341,9926146630.169994,288,2176639.000000,18942285.000000,3270275.000000,2176639.000000,13495371.000000,0.172644,0.000000,0.000000,0,1.000000
8,15013398618.140667,9936971947.719994,289,2206639.000000,18942285.000000,3270275.000000,2206639.000000,13465371.000000,0.172644,0.000000,0.000000,0,1.000000
9,15005276743.292450,9974860559.139994,292,2186639.000000,18942285.000000,3325275.000000,2186639.000000,13430371.000000,0.175548,0.000000,0.000000,0,1.000000
10,14956562814.322453,9926146630.169996,288,2186639.000000,18942285.000000,3265275.000000,2186639.000000,13490371.000000,0.172380,0.000000,0.000000,0,1.000000
