"planning_unit","number"
1792,0
1771,0
1770,0
1748,10
1747,0
1729,0
1727,0
1726,10
1725,0
1707,0
1706,0
1705,0
1704,10
1703,10
1702,10
1701,0
1700,0
1685,0
1684,0
1683,0
1682,10
1681,10
1680,10
1679,0
1678,0
1663,0
1662,0
1661,0
1660,10
1659,10
1658,10
1657,10
1656,10
1641,0
1640,0
1639,0
1638,10
1637,10
1636,10
1635,10
1634,0
1623,0
1619,0
1618,0
1617,0
1616,10
1615,10
1614,10
1613,10
1612,10
1611,0
1601,10
1600,0
1598,0
1597,0
1596,0
1595,0
1594,10
1593,10
1592,10
1591,10
1590,10
1579,0
1578,0
1577,0
1575,0
1574,0
1573,0
1572,10
1571,10
1570,10
1569,10
1568,10
1567,0
1557,0
1556,0
1554,0
1553,0
1552,0
1551,0
1550,10
1549,10
1548,10
1547,10
1546,10
1545,0
1535,0
1534,0
1533,0
1531,0
1530,0
1529,0
1528,10
1527,10
1526,10
1525,10
1524,10
1523,10
1513,0
1512,0
1510,0
1509,0
1508,0
1507,10
1506,10
1505,10
1504,10
1503,10
1502,10
1501,0
1491,0
1490,0
1489,0
1488,0
1487,0
1486,0
1485,10
1484,10
1483,10
1482,10
1481,10
1480,10
1479,10
1469,0
1468,0
1467,0
1466,0
1465,0
1464,10
1463,10
1462,10
1461,10
1460,10
1459,10
1458,10
1457,10
1447,0
1446,0
1445,0
1444,0
1443,0
1442,10
1441,10
1440,10
1439,10
1438,10
1437,10
1436,10
1435,10
1434,0
1425,0
1424,0
1423,0
1422,0
1421,10
1420,10
1419,10
1418,10
1417,10
1416,10
1415,10
1414,10
1413,10
1403,0
1402,0
1401,0
1400,0
1399,10
1398,10
1397,10
1396,10
1395,10
1394,10
1393,10
1392,10
1391,10
1390,10
1381,0
1380,0
1379,0
1378,0
1377,10
1376,10
1375,10
1374,10
1373,10
1372,10
1371,10
1370,10
1369,10
1368,0
1360,0
1359,0
1358,0
1357,0
1356,0
1355,10
1354,10
1353,10
1352,10
1351,10
1350,10
1349,10
1348,10
1347,10
1346,10
1345,0
1338,0
1337,0
1336,0
1335,0
1334,10
1333,10
1332,10
1331,10
1330,10
1329,10
1328,10
1327,10
1326,10
1325,10
1324,0
1316,0
1315,0
1314,0
1313,0
1312,10
1311,10
1310,10
1309,10
1308,10
1307,10
1306,10
1305,10
1304,10
1303,10
1302,10
1301,0
1294,0
1293,10
1292,0
1291,10
1290,10
1289,10
1288,10
1287,10
1286,10
1285,10
1284,10
1283,10
1282,10
1281,10
1280,0
1279,0
1272,0
1271,0
1270,10
1269,10
1268,10
1267,10
1266,10
1265,10
1264,10
1263,10
1262,10
1261,10
1260,10
1259,10
1258,10
1257,0
1250,0
1249,10
1248,10
1247,10
1246,10
1245,10
1244,10
1243,10
1242,10
1241,10
1240,10
1239,10
1238,10
1237,10
1236,0
1235,0
1227,0
1226,10
1225,10
1224,10
1223,10
1222,10
1221,10
1220,10
1219,10
1218,10
1217,10
1216,10
1215,10
1214,10
1213,0
1206,0
1205,10
1204,10
1203,10
1202,10
1201,10
1200,10
1199,10
1198,10
1197,10
1196,10
1195,10
1194,10
1193,10
1192,0
1191,0
1183,0
1182,10
1181,10
1180,10
1179,10
1178,10
1177,10
1176,10
1175,10
1174,10
1173,10
1172,10
1171,10
1170,10
1169,0
1164,0
1162,0
1161,10
1160,10
1159,10
1158,10
1157,10
1156,10
1155,10
1154,10
1153,10
1152,10
1151,10
1150,10
1149,10
1148,10
1147,0
1141,0
1140,0
1139,0
1138,10
1137,10
1136,10
1135,10
1134,10
1133,10
1132,10
1131,10
1130,10
1129,10
1128,10
1127,10
1126,10
1125,0
1124,0
1120,0
1118,0
1117,10
1116,10
1115,10
1114,10
1113,10
1112,10
1111,10
1110,10
1109,10
1108,10
1107,10
1106,10
1105,10
1104,10
1103,0
1097,0
1096,0
1095,10
1094,10
1093,10
1092,10
1091,10
1090,10
1089,10
1088,10
1087,10
1086,10
1085,10
1084,10
1083,10
1082,10
1081,0
1080,0
1076,10
1074,10
1073,10
1072,10
1071,10
1070,10
1069,10
1068,10
1067,10
1066,10
1065,10
1064,10
1063,10
1062,10
1061,10
1060,10
1059,0
1053,0
1052,10
1051,10
1050,10
1049,10
1048,10
1047,10
1046,10
1045,10
1044,10
1043,10
1042,10
1041,10
1040,10
1039,10
1038,10
1037,0
1036,0
1032,10
1031,0
1030,10
1029,10
1028,10
1027,10
1026,10
1025,10
1024,10
1023,10
1022,10
1021,10
1020,10
1019,10
1018,10
1017,10
1016,0
1015,0
1009,10
1008,10
1007,10
1006,10
1005,10
1004,10
1003,10
1002,10
1001,10
1000,10
999,10
998,10
997,10
996,10
995,10
994,10
993,0
992,0
988,10
987,10
986,10
985,10
984,10
983,10
982,10
981,10
980,10
979,10
978,10
977,10
976,10
975,10
974,10
973,10
972,10
971,0
965,10
964,10
963,10
962,10
961,10
960,10
959,10
958,10
957,10
956,10
955,10
954,10
953,10
952,10
951,10
950,10
949,0
948,0
944,10
943,10
942,10
941,10
940,10
939,10
938,10
937,10
936,10
935,10
934,10
933,10
932,10
931,10
930,10
929,10
928,10
927,0
922,0
921,10
920,10
919,10
918,10
917,10
916,10
915,10
914,10
913,10
912,10
911,10
910,10
909,10
908,10
907,10
906,10
905,0
904,0
900,10
899,10
898,10
897,10
896,10
895,10
894,10
893,10
892,10
891,10
890,10
889,10
888,10
887,10
886,10
885,10
884,10
883,0
877,10
876,10
875,10
874,10
873,10
872,10
871,10
870,10
869,10
868,10
867,10
866,10
865,10
864,10
863,10
862,10
861,8
856,10
855,10
854,10
853,10
852,10
851,10
850,10
849,10
848,10
847,10
846,10
845,10
844,10
843,10
842,10
841,10
840,10
839,8
834,0
833,10
832,10
831,10
830,10
829,10
828,10
827,10
826,10
825,10
824,10
823,10
822,10
821,10
820,10
819,10
818,10
817,8
812,10
811,10
810,10
809,10
808,10
807,10
806,10
805,10
804,10
803,10
802,10
801,10
800,10
799,10
798,10
797,10
796,10
795,8
790,0
789,10
788,10
787,10
786,10
785,10
784,10
783,10
782,10
781,10
780,10
779,10
778,10
777,10
776,10
775,10
774,10
773,8
772,5
768,10
767,10
766,10
765,10
764,10
763,10
762,10
761,10
760,10
759,10
758,10
757,10
756,10
755,10
754,10
753,10
752,10
751,8
746,0
745,10
744,10
743,10
742,10
741,10
740,10
739,10
738,10
737,10
736,10
735,10
734,10
733,10
732,10
731,10
730,10
729,8
728,5
724,10
723,10
722,10
721,10
720,10
719,10
718,10
717,10
716,10
715,10
714,10
713,10
712,10
711,10
710,10
709,10
708,10
707,8
706,3
702,0
701,10
700,10
699,10
698,10
697,10
696,10
695,10
694,10
693,10
692,10
691,10
690,10
689,10
688,10
687,10
686,10
685,8
684,5
683,0
680,10
679,10
678,10
677,10
676,10
675,10
674,10
673,10
672,10
671,10
670,10
669,10
668,10
667,10
666,10
665,10
664,10
663,8
662,3
658,10
657,10
656,10
655,10
654,10
653,10
652,10
651,10
650,10
649,10
648,10
647,10
646,10
645,10
644,10
643,10
642,10
641,8
640,5
639,0
636,10
635,10
634,10
633,10
632,10
631,10
630,10
629,10
628,10
627,10
626,10
625,10
624,10
623,10
622,10
621,10
620,10
619,8
618,3
617,0
614,10
613,10
612,10
611,10
610,10
609,10
608,10
607,10
606,10
605,10
604,10
603,10
602,10
601,10
600,10
599,10
598,10
597,8
596,5
595,0
593,0
592,10
591,10
590,10
589,10
588,10
587,10
586,10
585,10
584,10
583,10
582,10
581,10
580,10
579,10
578,10
577,10
576,10
575,8
574,3
573,0
570,10
569,10
568,10
567,10
566,10
565,10
564,10
563,10
562,10
561,10
560,10
559,10
558,10
557,10
556,10
555,10
554,10
553,8
552,5
551,0
549,0
548,10
547,10
546,10
545,10
544,10
543,10
542,10
541,10
540,10
539,10
538,10
537,10
536,10
535,10
534,10
533,10
532,10
531,8
530,3
529,0
526,10
525,10
524,10
523,10
522,10
521,10
520,10
519,10
518,10
517,10
516,10
515,10
514,10
513,10
512,10
511,10
510,10
509,8
508,5
507,0
505,0
504,10
503,10
502,10
501,10
500,10
499,10
498,10
497,10
496,10
495,10
494,10
493,10
492,10
491,10
490,10
489,10
488,10
487,8
486,3
485,0
482,10
481,10
480,10
479,10
478,10
477,10
476,10
475,10
474,10
473,10
472,10
471,10
470,10
469,10
468,10
467,10
466,10
465,8
464,5
463,0
462,0
461,10
460,10
459,10
458,10
457,10
456,10
455,10
454,10
453,10
452,10
451,10
450,10
449,10
448,10
447,10
446,10
445,10
444,10
443,8
442,3
441,0
438,10
437,10
436,10
435,10
434,10
433,10
432,10
431,10
430,10
429,10
428,10
427,10
426,10
425,10
424,10
423,10
422,10
421,9
420,5
419,0
418,0
417,10
416,10
415,10
414,10
413,10
412,10
411,10
410,10
409,3
408,10
407,9
406,10
405,10
404,10
403,0
402,10
401,10
400,9
399,9
398,3
397,0
394,10
393,10
392,10
391,10
390,10
389,10
388,10
387,3
386,0
385,10
384,9
383,10
382,0
381,0
380,0
379,10
378,9
377,9
376,9
375,0
374,0
373,10
372,10
371,10
370,10
369,10
368,10
367,10
366,3
365,0
364,0
363,0
360,0
359,0
358,0
357,10
356,0
355,9
354,10
353,0
352,0
350,10
349,10
348,10
347,10
346,0
345,0
344,3
343,0
342,0
338,0
337,0
336,0
335,0
334,0
333,0
332,9
331,0
330,0
329,0
328,10
327,10
326,10
325,0
323,0
322,0
316,0
315,0
314,0
313,0
312,0
311,0
310,10
309,0
308,0
306,0
305,0
303,0
293,0
292,0
291,0
290,0
289,0
288,0
287,0
286,0
284,0
283,0
281,0
270,0
269,0
268,0
267,0
266,0
265,0
264,0
261,0
259,0
248,0
247,0
246,0
245,0
244,0
243,0
242,0
239,0
226,0
225,0
224,0
223,0
222,0
221,0
220,0
203,0
202,0
201,0
200,0
199,0
198,0
181,0
180,0
179,0
178,0
177,0
176,0
158,0
157,0
156,0
155,0
154,0
136,0
135,0
134,0
133,0
112,0
111,0
110,0
92,0
91,0
90,0
89,0
68,0
67,0
66,0
46,0
45,0
24,0
22,0
2,0
