"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,1096468306.808001,6580806450.836390,0,143,0,0,yes,1.000000
24,,5609395621.579964,45761506943.388847,0,835,0,0,yes,1.000000
23,,469798696.622515,2301264899.585470,0,60,0,0,yes,1.000000
22,,3384307306.297791,26681756129.327984,0,569,0,0,yes,1.000000
21,,442251180.267135,4309092922.948210,0,110,0,0,yes,1.000000
20,,812126096.550814,4413989259.801680,0,156,0,0,yes,1.000000
19,,714455355.802341,7006043740.889144,0,197,0,0,yes,1.000000
18,,5992419.187795,10544879.071770,0,5,0,0,yes,1.000000
17,,38223068.882032,356949041.057130,0,12,0,0,yes,1.000000
16,,5360340680.502813,43341834793.555954,0,796,0,0,yes,1.000000
15,,475740709.534277,3401760204.238748,0,158,0,0,yes,1.000000
14,,117877661.072850,1084555365.853990,0,71,0,0,yes,1.000000
13,,106357780.196526,1030377276.625420,0,121,0,0,yes,1.000000
12,,108383939.453124,1083757136.536120,0,123,0,0,yes,1.000000
11,,203099116.837551,1585708497.702129,0,243,0,0,yes,1.000000
10,,110332387.515864,1102386445.960400,0,171,0,0,yes,1.000000
9,,238284629.509380,1935019462.288110,0,110,0,0,yes,1.000000
8,,257928662.232081,2246922616.857401,0,246,0,0,yes,1.000000
7,,434248527.484422,3844153334.354949,0,246,0,0,yes,1.000000
6,,468737987.304786,3979128648.171410,0,237,0,0,yes,1.000000
5,,301455310.442283,3014553104.422833,0,175,0,0,yes,1.000000
4,,107541997.643654,1074176999.187520,0,106,0,0,yes,1.000000
3,,276535527.748922,2746184012.236300,0,129,0,0,yes,1.000000
2,,192323344.329095,1743634114.913070,0,157,0,0,yes,1.000000
1,,118118429.428616,1181184294.286160,0,92,0,0,yes,1.000000
