"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9751259944.998386,9720709427.608940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,30550517.389446,86300881.518663,3,0.442964
2,9753787005.573164,9731534745.158939,280,2261148.000000,18942285.000000,3101308.000000,2261148.000000,13579829.000000,0.163724,22252260.414225,77029309.095411,2,0.352837
3,9758047495.435347,9731534745.158939,280,2271148.000000,18942285.000000,3096308.000000,2271148.000000,13574829.000000,0.163460,26512750.276408,91448604.239496,3,0.260651
4,9751259944.998386,9720709427.608940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,30550517.389446,86300881.518663,3,0.442964
5,9756259982.948338,9715296768.838940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,40963214.109398,124205528.499133,3,0.122060
6,9750969687.536402,9715296768.838940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,35672918.697462,104947618.141713,3,0.285099
7,9750969687.536402,9715296768.838940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,35672918.697462,104947618.141713,3,0.285099
8,9754708473.687887,9731534745.158939,280,2261148.000000,18942285.000000,3101308.000000,2261148.000000,13579829.000000,0.163724,23173728.528948,80383668.156441,2,0.324439
9,9758018647.989910,9731534745.158939,280,2281148.000000,18942285.000000,3091308.000000,2281148.000000,13569829.000000,0.163196,26483902.830971,92433475.400091,2,0.222424
10,9751122152.479603,9715296768.838940,279,2241148.000000,18942285.000000,3096308.000000,2241148.000000,13604829.000000,0.163460,35825383.640663,105502626.129013,3,0.280401
