"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,1096468306.808001,1578684904.444800,0,36,0,0,yes,1.000000
24,,5609395621.579964,12161517078.325134,0,267,0,0,yes,1.000000
23,,469798696.622515,2006201037.005870,0,45,0,0,yes,1.000000
22,,3384307306.297791,4315011472.928700,0,123,0,0,yes,1.000000
21,,442251180.267135,488128969.958020,0,12,0,0,yes,1.000000
20,,812126096.550814,1240901911.644010,0,57,0,0,yes,1.000000
19,,714455355.802341,774361916.580560,0,26,0,0,yes,1.000000
18,,5992419.187795,6082361.590820,0,2,0,0,yes,1.000000
17,,38223068.882032,144624934.045410,0,5,0,0,yes,1.000000
16,,5360340680.502813,15944154211.946608,0,278,0,0,yes,1.000000
15,,475740709.534277,707029688.209950,0,24,0,0,yes,1.000000
14,,117877661.072850,226088439.212400,0,9,0,0,yes,1.000000
13,,106357780.196526,502374045.775850,0,70,0,0,yes,1.000000
12,,108383939.453124,516861290.049310,0,53,0,0,yes,1.000000
11,,203099116.837551,937823203.549290,0,158,0,0,yes,1.000000
10,,110332387.515864,314607365.926210,0,54,0,0,yes,1.000000
9,,238284629.509380,290485651.527330,0,18,0,0,yes,1.000000
8,,257928662.232081,1577299475.053711,0,159,0,0,yes,1.000000
7,,434248527.484422,2079373085.133800,0,159,0,0,yes,1.000000
6,,468737987.304786,3110367870.165517,0,152,0,0,yes,1.000000
5,,301455310.442283,1027209228.958000,0,54,0,0,yes,1.000000
4,,107541997.643654,159585351.071780,0,12,0,0,yes,1.000000
3,,276535527.748922,296782482.453120,0,17,0,0,yes,1.000000
2,,192323344.329095,228061351.636720,0,23,0,0,yes,1.000000
1,,118118429.428616,126669679.253900,0,6,0,0,yes,1.000000
