"planning_unit","number"
1792,2
1771,0
1770,0
1748,10
1747,0
1729,3
1727,2
1726,10
1725,2
1707,2
1706,3
1705,0
1704,10
1703,10
1702,10
1701,0
1700,0
1685,4
1684,3
1683,0
1682,10
1681,10
1680,10
1679,2
1678,0
1663,4
1662,10
1661,8
1660,10
1659,10
1658,10
1657,10
1656,10
1641,0
1640,4
1639,0
1638,10
1637,10
1636,10
1635,10
1634,0
1623,2
1619,10
1618,8
1617,5
1616,10
1615,10
1614,10
1613,10
1612,10
1611,0
1601,10
1600,0
1598,0
1597,2
1596,0
1595,0
1594,10
1593,10
1592,10
1591,10
1590,10
1579,7
1578,10
1577,0
1575,9
1574,5
1573,3
1572,10
1571,10
1570,10
1569,10
1568,10
1567,0
1557,1
1556,5
1554,7
1553,0
1552,7
1551,0
1550,10
1549,10
1548,10
1547,10
1546,10
1545,1
1535,2
1534,3
1533,2
1531,10
1530,5
1529,8
1528,10
1527,10
1526,10
1525,10
1524,10
1523,10
1513,0
1512,8
1510,5
1509,2
1508,4
1507,0
1506,0
1505,10
1504,10
1503,10
1502,10
1501,3
1491,4
1490,9
1489,2
1488,3
1487,7
1486,4
1485,2
1484,3
1483,10
1482,10
1481,10
1480,10
1479,10
1469,5
1468,7
1467,0
1466,3
1465,4
1464,3
1463,3
1462,0
1461,10
1460,10
1459,10
1458,10
1457,10
1447,1
1446,5
1445,0
1444,7
1443,3
1442,0
1441,0
1440,0
1439,10
1438,10
1437,10
1436,10
1435,10
1434,1
1425,8
1424,10
1423,0
1422,9
1421,10
1420,7
1419,7
1418,10
1417,10
1416,10
1415,10
1414,10
1413,10
1403,3
1402,3
1401,0
1400,7
1399,10
1398,10
1397,1
1396,1
1395,10
1394,10
1393,10
1392,10
1391,10
1390,10
1381,8
1380,5
1379,6
1378,9
1377,10
1376,10
1375,4
1374,10
1373,10
1372,10
1371,10
1370,10
1369,10
1368,0
1360,4
1359,1
1358,3
1357,8
1356,6
1355,7
1354,10
1353,9
1352,3
1351,10
1350,10
1349,10
1348,10
1347,10
1346,10
1345,0
1338,3
1337,2
1336,3
1335,3
1334,6
1333,8
1332,5
1331,1
1330,10
1329,10
1328,10
1327,10
1326,10
1325,10
1324,0
1316,0
1315,7
1314,4
1313,2
1312,2
1311,4
1310,8
1309,7
1308,8
1307,0
1306,10
1305,10
1304,10
1303,10
1302,10
1301,0
1294,0
1293,10
1292,0
1291,0
1290,0
1289,0
1288,1
1287,0
1286,0
1285,10
1284,0
1283,10
1282,10
1281,10
1280,0
1279,0
1272,1
1271,4
1270,3
1269,7
1268,5
1267,4
1266,7
1265,3
1264,6
1263,10
1262,0
1261,0
1260,10
1259,10
1258,0
1257,1
1250,9
1249,2
1248,2
1247,7
1246,9
1245,0
1244,3
1243,0
1242,10
1241,10
1240,0
1239,10
1238,10
1237,10
1236,0
1235,2
1227,7
1226,4
1225,6
1224,9
1223,5
1222,3
1221,3
1220,5
1219,10
1218,10
1217,10
1216,10
1215,10
1214,0
1213,1
1206,5
1205,1
1204,3
1203,7
1202,7
1201,3
1200,1
1199,2
1198,10
1197,10
1196,10
1195,10
1194,10
1193,10
1192,0
1191,1
1183,5
1182,4
1181,9
1180,10
1179,2
1178,1
1177,6
1176,5
1175,1
1174,10
1173,10
1172,10
1171,10
1170,0
1169,0
1164,5
1162,4
1161,2
1160,4
1159,6
1158,8
1157,1
1156,0
1155,1
1154,8
1153,10
1152,10
1151,10
1150,10
1149,10
1148,10
1147,1
1141,0
1140,0
1139,0
1138,3
1137,1
1136,9
1135,2
1134,3
1133,0
1132,4
1131,0
1130,10
1129,10
1128,10
1127,10
1126,10
1125,0
1124,0
1120,8
1118,5
1117,4
1116,2
1115,7
1114,7
1113,3
1112,1
1111,5
1110,6
1109,10
1108,10
1107,10
1106,10
1105,10
1104,10
1103,0
1097,0
1096,0
1095,10
1094,0
1093,0
1092,0
1091,0
1090,0
1089,0
1088,0
1087,10
1086,10
1085,10
1084,10
1083,10
1082,10
1081,0
1080,1
1076,10
1074,10
1073,3
1072,2
1071,0
1070,6
1069,0
1068,3
1067,4
1066,4
1065,10
1064,10
1063,10
1062,10
1061,10
1060,10
1059,0
1053,0
1052,2
1051,10
1050,9
1049,6
1048,5
1047,5
1046,4
1045,7
1044,4
1043,0
1042,10
1041,10
1040,10
1039,10
1038,10
1037,2
1036,3
1032,10
1031,2
1030,10
1029,0
1028,7
1027,1
1026,8
1025,2
1024,8
1023,4
1022,3
1021,0
1020,10
1019,10
1018,10
1017,10
1016,9
