"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,6091490593.377789,6573922576.744541,0,146,0,0,yes,1.000000
24,,31163309008.777603,31163320237.898247,0,606,0,0,yes,1.000000
23,,2609992759.013976,2867180953.650900,0,77,0,0,yes,1.000000
22,,18801707257.209961,18906721768.024265,0,415,0,0,yes,1.000000
21,,2456951001.484085,2520422967.808110,0,63,0,0,yes,1.000000
20,,4511811647.504527,4549827057.163500,0,187,0,0,yes,1.000000
19,,3969196421.124122,3976608408.153800,0,113,0,0,yes,1.000000
18,,33291217.709972,35919289.140630,0,16,0,0,yes,1.000000
17,,212350382.677956,343477464.930670,0,10,0,0,yes,1.000000
16,,29779670447.237873,30968796557.043247,0,589,0,0,yes,1.000000
15,,2643003941.857096,3027861365.649439,0,136,0,0,yes,1.000000
14,,654875894.849167,692300885.415030,0,45,0,0,yes,1.000000
13,,590876556.647367,761703807.062460,0,95,0,0,yes,1.000000
12,,602132996.961800,700331215.301740,0,72,0,0,yes,1.000000
11,,1128328426.875284,1171626230.844690,0,190,0,0,yes,1.000000
10,,612957708.421467,616247359.105440,0,91,0,0,yes,1.000000
9,,1323803497.274334,1328015961.398450,0,70,0,0,yes,1.000000
8,,1432937012.400453,1838027878.731931,0,191,0,0,yes,1.000000
7,,2412491819.357903,2580000255.850109,0,191,0,0,yes,1.000000
6,,2604099929.471035,3440507041.034148,0,184,0,0,yes,1.000000
5,,1674751724.679353,1707498744.720180,0,92,0,0,yes,1.000000
4,,597455542.464745,601038597.199219,0,57,0,0,yes,1.000000
3,,1536308487.494012,1542077667.530250,0,70,0,0,yes,1.000000
2,,1068463024.050529,1129538941.854460,0,131,0,0,yes,1.000000
1,,656213496.825645,661953577.478520,0,52,0,0,yes,1.000000
