PUID,SOLUTION
2,0
22,0
24,1
45,0
46,1
66,1
67,1
68,1
89,1
90,1
91,0
92,0
110,0
111,0
112,1
133,1
134,1
135,1
136,1
154,0
155,0
156,1
157,0
158,0
176,0
177,0
178,0
179,0
180,0
181,1
198,0
199,1
200,1
201,1
202,1
203,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
239,1
242,0
243,1
244,1
245,0
246,1
247,0
248,0
259,0
261,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
281,1
283,0
284,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
303,1
305,0
306,0
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,0
322,0
323,0
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,1
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,1
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,1
438,1
441,1
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,1
