"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,8528086830.728900,8740645213.966276,0,200,0,0,yes,1.000000
24,,43628632612.288620,43628756921.956841,0,828,0,0,yes,1.000000
23,,3653989862.619564,3934750729.848672,0,104,0,0,yes,1.000000
22,,26322390160.093933,26562931391.033070,0,586,0,0,yes,1.000000
21,,3439731402.077717,3541618076.915519,0,90,0,0,yes,1.000000
20,,6316536306.506334,6361686398.937878,0,265,0,0,yes,1.000000
19,,5556874989.573768,5558532681.874975,0,157,0,0,yes,1.000000
18,,46607704.793961,47462092.568850,0,28,0,0,yes,1.000000
17,,297290535.749138,325675468.629890,0,9,0,0,yes,1.000000
16,,41691538626.133003,41799176773.661888,0,798,0,0,yes,1.000000
15,,3700205518.599932,3963997405.550288,0,185,0,0,yes,1.000000
14,,916826252.788833,1005837075.904280,0,67,0,0,yes,1.000000
13,,827227179.306314,897707932.760710,0,111,0,0,yes,1.000000
12,,842986195.746520,846943744.872540,0,93,0,0,yes,1.000000
11,,1579659797.625396,1579800563.541970,0,235,0,0,yes,1.000000
10,,858140791.790053,861824413.648410,0,128,0,0,yes,1.000000
9,,1853324896.184067,1861283611.315460,0,105,0,0,yes,1.000000
8,,2006111817.360633,2104261059.629400,0,236,0,0,yes,1.000000
7,,3377488547.101062,3379542336.449729,0,234,0,0,yes,1.000000
6,,3645739901.259447,3920039962.813437,0,229,0,0,yes,1.000000
5,,2344652414.551094,2350704003.692370,0,131,0,0,yes,1.000000
4,,836437759.450643,858128190.149450,0,82,0,0,yes,1.000000
3,,2150831882.491616,2170270472.024390,0,100,0,0,yes,1.000000
2,,1495848233.670740,1530803761.422310,0,179,0,0,yes,1.000000
1,,918698895.555902,951881820.213880,0,75,0,0,yes,1.000000
