"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,22617376186.497787,22617376186.497787,964,5975610.000000,18942285.000000,11750187.000000,5975610.000000,1216488.000000,0.620315,0.000000,0.000000,0,1.000000
2,22657626387.668056,22657626387.668056,968,5951917.000000,18942285.000000,11794469.000000,5951917.000000,1195899.000000,0.622653,0.000000,0.000000,0,1.000000
3,22807181402.660988,22807181402.660988,965,5977147.000000,18942285.000000,11792412.000000,5977147.000000,1172726.000000,0.622544,0.000000,0.000000,0,1.000000
4,22676806913.802402,22676806913.802402,964,6128996.000000,18942285.000000,11747076.000000,6128996.000000,1066213.000000,0.620151,0.000000,0.000000,0,1.000000
5,22783219383.182327,22781551720.775398,969,6081362.000000,18942285.000000,11735080.000000,6081362.000000,1125843.000000,0.619518,1667662.406929,155738.066611,1,0.999837
6,22746631059.052177,22746631059.052177,975,5892520.000000,18942285.000000,11866944.000000,5892520.000000,1182821.000000,0.626479,0.000000,0.000000,0,1.000000
7,22707428359.213940,22707377685.560856,973,5996230.000000,18942285.000000,11827577.000000,5996230.000000,1118478.000000,0.624401,50673.653082,12335.418678,1,1.000000
8,22715108426.902672,22715108426.902672,974,6038503.000000,18942285.000000,11767588.000000,6038503.000000,1136194.000000,0.621234,0.000000,0.000000,0,1.000000
9,22695903117.612488,22695903117.612488,959,5946900.000000,18942285.000000,11721639.000000,5946900.000000,1273746.000000,0.618808,0.000000,0.000000,0,1.000000
10,22733732979.596024,22733407923.257702,965,5979628.000000,18942285.000000,11790222.000000,5979628.000000,1172435.000000,0.622429,325056.338322,56222.436303,1,0.999991
